"unique_row","study_ID","short_cite","long_cite","peer_reviewed","coder","expt_unique","same_sample","task_type","participant_design","native_language","group_name_1","group_name_2","n_1","n_2","feature","unit","x_1","x_2","SD_1","SD_2","expt_num","expt_condition","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","mean_education_1","mean_education_2","sd_education_1","sd_education_2","mean_total_task_duration_1","mean_total_task_duration_2","sd_total_task_duration_1","sd_total_task_duration_2","task_type_specification","native_language_specification","diagnosis_specification","feature_specification","prosody_type","notes","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_sample_calc","all_mod"
"1","Pinheiro2016","Pinheiro et al. (2016)","Pinheiro, A.P., Rezaii, N., Rauber, A., Niznikiewicz, M., 2016. Is this my voice or yours? The role of emotion and acoustic quality in self-other voice discrimination in schizophrenia. Cogn. Neuropsychiatry 21, 335–353.","yes","LNJ, ND","Pinheiro et al. (2016)","A","constrained","between",NA,"SZ","HC",17,18,"speech_duration","Mean words duration (ms)",666.416666666667,625.496666666667,64.4666666666667,62.1133333333333,NA,NA,12,13,5,5,48.29,49.53,8.49,4.48,13.69,15.06,2.33,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.646800300768634,0.120355522525526,0.631640918719369,0.114779970670248,0.307595213988914,0.0223126683810018,0.317887139605251,0.0714285714285714,1.17316597432065,0.395953798271113,"between",48.9277142857143,17.5,"Pinheiro2016 A",""
"2","Rapcan2010","Rapcan et al. (2010)","Rapcan, V., D’Arcy, S., Yeap, S., Afzal, N., Thakore, J., & Reilly, R. B. (2010). Acoustic and temporal analysis of speech: A potential biomarker for schizophrenia. Medical engineering & physics, 32(9), 1074-1079.","yes","LNJ, ND","Rapcan et al. (2010)","F","constrained","between",NA,"SZ","HC",39,18,"speech_duration","Mean utterance duration (ms)",2690,3020,630,480,NA,NA,27,8,12,10,42.3,40.5,13.5,12.9,NA,NA,NA,NA,222.15,194.58,42.8,30.64,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.56147433992239,0.0839619622000135,-0.553676085201246,0.0816458818384005,-0.252530863749118,0.0148872706386342,-0.258114229627673,0.0277777777777778,-1.01840180078506,0.276223783884451,"between",41.7315789473684,28.5,"Rapcan2010 F",""
"4","Pinheiro2017","Pinheiro et al. (2017)","Pinheiro, A. P., Rezaii, N., Rauber, A., Nestor, P. G., Spencer, K. M., & Niznikiewicz, M. (2017). Emotional self–other voice processing in schizophrenia and its relationship with hallucinations: ERP evidence. Psychophysiology, 54(9), 1252-1265.","yes","LNJ, ND","Pinheiro et al. (2017)","V","constrained","between",NA,"SZ","HC",15,16,"speech_duration","Mean words duration (ms)",666.416666666667,613.39,74.44,51.38,NA,NA,11,11,4,5,47.4,48.63,8.48,5.08,13.86,15.31,2.35,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.834203907703109,0.140390798273556,0.811859160175347,0.132970589468122,0.384786997585524,0.0216796339795903,0.405666530602484,0.0833333333333333,1.5130785174336,0.461867213504379,"between",48.0348387096774,15.5,"Pinheiro2017 V",""
"5","Kliper2015","Kliper et al. (2015)","Kliper, R., Portuguese, S., & Weinshall, D. (2015, September). Prosodic analysis of speech and the underlying mental state. In International Symposium on Pervasive Computing Paradigms for Mental Health (pp. 52-62). Springer, Cham.",NA,"LNJ, ND","Kliper et al. (2015)","AO","social","between",NA,"SZ","HC",22,20,"speech_duration","Utterance duration is ms",1260,1350,50,70,NA,NA,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.49173547429654,0.121945911231626,-1.46304825363699,0.117300782216516,-0.59744190763356,0.00808876548162062,-0.689159702868461,0.0526315789473684,-2.7057088548847,0.401185967395501,"between",NA,21,"Kliper2015 AO",""
"6","Cohen2008","Cohen et al. (2008)","Cohen, A. S., Alpert, M., Nienow, T. M., Dinzeo, T. J., & Docherty, N. M. (2008). Computerized measurement of negative symptoms in schizophrenia. Journal of psychiatric research, 42(10), 827-836.","yes","LNJ, ND","Cohen et al. (2008)","K","free","between",NA,"SZ","HC",60,19,"speech_rate","mean number of words/s",2.113,2.31,0.551,0.59,NA,NA,44,13,16,6,41.5476666666667,38.32,8.215,10.97,12.0013333333333,14.21,1.89166666666667,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.351559692560322,0.0700804874965231,-0.348090353489003,0.0687041448198634,-0.148585555573437,0.0119718392138049,-0.149693746960347,0.0175438596491228,-0.637658746856289,0.230555562608724,"between",40.7713924050633,39.5,"Cohen2008 K",""
"7","Alpert2000","Alpert et al. (2000)","Alpert, M., Rosenberg, S. D., Pouget, E. R., & Shaw, R. J. (2000). Prosody and lexical accuracy in flat affect schizophrenia. Psychiatry research, 97(2-3), 107-118.","yes","LNJ, ND","Alpert et al. (2000)","P","social","between",NA,"SZ","HC",46,20,"speech_rate",NA,1.66304347826087,2.54366666666667,0.609668115942029,1.29576666666667,NA,NA,46,20,0,0,40.9869565217391,41.1,9.40130434782609,13.58,12.7086956521739,13.1,2.29130434782609,1.89,300,300,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.01027391578501,0.0794713530477794,-0.998246845358995,0.0775904409220737,-0.421114335517401,0.00934492906802761,-0.449045799381681,0.0232558139534884,-1.83243418615326,0.26145027193363,"between",41.0212121212121,33,"Alpert2000 P",""
"9","Mandal1990","Mandal et al. (1990)","Mandal, M. K., Srivastava, P., & Singh, S. K. (1990). Paralinguistic characteristics of speech in schizophrenics and depressives. Journal of psychiatric research, 24(2), 191-196.","yes","LNJ, ND","Mandal et al. (1990)","X","free","between",NA,"SZ","HC",40,60,"speech_rate","words/sec",0.277738095238095,0.374285714285714,0.0264285714285714,0.0315119047619048,NA,NA,22,33,18,27,27.38,26.1,6.25,7.01,15,20.1,NA,NA,120,120,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-3.26243482317828,0.0948840715440983,-3.23720981165886,0.0934224645593578,-0.847738974403158,0.000507098895744573,-1.24806083646334,0.027027027027027,-5.91740220813634,0.312156083368303,"between",26.612,50,"Mandal1990 X",""
"10","Tavano2008","Tavano et al. (2008)","Tavano, A., Sponda, S., Fabbro, F., Perlini, C., Rambaldelli, G., Ferro, A., ... & Brambilla, P. (2008). Specific linguistic and pragmatic deficits in Italian patients with schizophrenia. Schizophrenia Research, 102(1-3), 53-62.","yes","LNJ, ND","Tavano et al. (2008)","Y","free","between",NA,"SZ","HC",37,37,"speech_rate","speech fluency(words per sec)",1.727,2.02333333333333,0.655833333333333,0.4595,NA,"narrative",11,16,26,21,39.73,38.16,13.05,11.8,9.56756756756757,13.0540540540541,3.29596167504469,3.42333451757482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.523334345537254,0.0559045867379656,-0.517806165830875,0.0547297420330354,-0.253144289394736,0.0114577886308089,-0.258769547713989,0.0294117647058824,-0.949223503217402,0.183918718436702,"between",38.945,37,"Tavano2008 Y",""
"11","Tavano2008","Tavano et al. (2008)","Tavano, A., Sponda, S., Fabbro, F., Perlini, C., Rambaldelli, G., Ferro, A., ... & Brambilla, P. (2008). Specific linguistic and pragmatic deficits in Italian patients with schizophrenia. Schizophrenia Research, 102(1-3), 53-62.","yes","LNJ, ND","Tavano et al. (2008).1","Z","social","between",NA,"SZ","HC",21,21,"speech_rate","speech fluency(words per sec)",1.61416666666667,2.0375,0.310333333333333,0.271166666666667,NA,"conversational",8,8,13,13,38.1,37.1,13.32,11.93,9.85714285714286,12.4285714285714,3.30583899011604,3.50102025945907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.45271310053988,0.12036161133905,-1.42477631014488,0.115776831025469,-0.587686762436882,0.008441202292927,-0.674125011825135,0.0555555555555556,-2.63493009817395,0.395973829664697,"between",37.6,21,"Tavano2008 Z",""
"12","Perlini2012","Perlini et al. (2012)","Perlini, C., Marini, A., Garzitto, M., Isola, M., Cerruti, S., Marinelli, V., ... & Bellani, M. (2012). Linguistic production and syntactic comprehension in schizophrenia and bipolar disorder. Acta Psychiatrica Scandinavica, 126(5), 363-376.","yes","LNJ, ND","Perlini et al. (2012)","AA","free","between",NA,"SZ","HC",30,30,"speech_rate","speech fluency(words per sec)",1.92533333333333,2.25483333333333,0.474833333333333,0.46345,NA,NA,24,17,6,13,39.7,38.53,10.88,12.71,10.27,12.13,2.61,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.702294801223639,0.0707768165652146,-0.693054080154907,0.0689265223648428,-0.331314702847148,0.0124835625295998,-0.344304344872918,0.037037037037037,-1.27382186396443,0.232846393422379,"between",39.115,30,"Perlini2012 AA",""
